"Severity","Appender","Date","Time","Category","Message"
"WARN","coldboxfile","08/08/2009","10:47:17","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"WARN","coldboxfile","08/08/2009","10:47:41","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"WARN","coldboxfile","08/08/2009","10:48:29","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"WARN","coldboxfile","08/08/2009","10:48:56","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"WARN","coldboxfile","09/17/2009","13:41:42","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"WARN","coldboxfile","09/17/2009","13:48:55","simple_blog","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/SimpleBlog/simple_blog/config/ModelMappings.cfm"
"ERROR","coldboxfile","09/17/2009","13:49:40","simple_blog","Error autowiring coldbox.samples.applications.SimpleBlog.simple_blog.handlers.general. Variable REFLOCAL is undefined."
"ERROR","coldboxfile","09/17/2009","13:49:42","simple_blog","Application Execution Exception ExtraInfo:CFErrorType=Autowire.AutowireExceptionCFDetails=coldfusion.runtime.UndefinedVariableException: Variable REFLOCAL is undefined.
	at coldfusion.runtime.CfJspPage._get(CfJspPage.java:251)
	at coldfusion.runtime.CfJspPage._get(CfJspPage.java:236)
	at cfCBCacheManager2ecfc693835987$funcLOOKUP.runFunction(C:\apache\htdocs\coldbox\system\cache\CBCacheManager.cfc:66)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2272)
	at cfBeanFactory2ecfc707470794$funcGETOCMDEPENDENCY.runFunction(C:\apache\htdocs\coldbox\system\plugins\BeanFactory.cfc:906)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
